2024-12-05 02:35:54,281 p=1579080 u=root n=ansible | TASK [echo -n > output.log] *************************************************************************************************************************************************************************
2024-12-05 02:41:47,230 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.3.0)
2024-12-05 02:41:47,704 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.3.1)
2024-12-05 02:41:48,201 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.3.2)
2024-12-05 02:41:48,692 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.3.3)
2024-12-05 02:41:49,220 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.4.0)
2024-12-05 02:41:49,693 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.4.1)
2024-12-05 02:41:50,182 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.4.2)
2024-12-05 02:41:50,672 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.4.4)
2024-12-05 02:41:51,192 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.5.1)
2024-12-05 02:41:51,726 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.5.2)
2024-12-05 02:41:52,252 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.5.3)
2024-12-05 02:41:52,761 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.0)
2024-12-05 02:41:53,259 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.1)
2024-12-05 02:41:53,765 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.2)
2024-12-05 02:41:54,269 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.3)
2024-12-05 02:41:54,756 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.4)
2024-12-05 02:41:55,251 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.7.1)
2024-12-05 02:41:55,746 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.7.2)
2024-12-05 02:41:56,248 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.0)
2024-12-05 02:41:56,729 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.1)
2024-12-05 02:41:57,219 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.2)
2024-12-05 02:41:57,708 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.3)
2024-12-05 02:41:58,193 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.4)
2024-12-05 02:41:58,691 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.5)
2024-12-05 02:41:59,173 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.6)
2024-12-05 02:41:59,662 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.9.0)
2024-12-05 02:42:00,170 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.9.1)
2024-12-05 02:42:00,690 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.10.0)
2024-12-05 02:42:01,255 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.10.1)
2024-12-05 02:42:01,787 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.10.2)
2024-12-05 02:42:02,335 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.11.1)
2024-12-05 02:42:02,885 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.11.2)
2024-12-05 02:42:03,420 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.12.0)
2024-12-05 02:42:03,920 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.12.1)
2024-12-05 02:42:04,460 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.13.0)
2024-12-05 02:42:04,980 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.13.1)
2024-12-05 02:42:05,494 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.0)
2024-12-05 02:42:06,044 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.1)
2024-12-05 02:42:06,568 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.2)
2024-12-05 02:42:07,101 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.3)
2024-12-05 02:42:07,646 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.4)
2024-12-05 02:42:08,203 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.5)
2024-12-05 02:42:08,751 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.6)
2024-12-05 02:42:09,261 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.7)
2024-12-05 02:42:09,764 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.8)
2024-12-05 02:42:10,253 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.9)
2024-12-05 02:42:10,731 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.10)
2024-12-05 02:42:11,229 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.11)
2024-12-05 02:42:11,731 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.12)
2024-12-05 02:42:12,350 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy entrypoint.sh from 'files' directory to each version directory] ****************************************************************************************************
2024-12-05 02:42:12,351 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.0.1)
2024-12-05 02:42:12,844 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.0.2)
2024-12-05 02:42:13,342 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.0.3)
2024-12-05 02:42:13,864 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.0.4)
2024-12-05 02:42:14,411 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.0.6)
2024-12-05 02:42:14,952 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.0.7)
2024-12-05 02:42:15,476 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.0.8)
2024-12-05 02:42:15,980 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.1.0)
2024-12-05 02:42:16,489 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.1.3)
2024-12-05 02:42:16,999 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.1.4)
2024-12-05 02:42:17,550 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.1.6)
2024-12-05 02:42:18,061 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.2.0)
2024-12-05 02:42:18,548 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.2.1)
2024-12-05 02:42:19,114 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.2.2)
2024-12-05 02:42:19,596 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.2.3)
2024-12-05 02:42:20,133 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.3.0)
2024-12-05 02:42:20,618 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.3.1)
2024-12-05 02:42:21,102 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.3.2)
2024-12-05 02:42:21,572 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.3.3)
2024-12-05 02:42:22,073 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.4.0)
2024-12-05 02:42:22,591 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.4.1)
2024-12-05 02:42:23,090 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.4.2)
2024-12-05 02:42:23,603 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.4.4)
2024-12-05 02:42:24,089 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.5.1)
2024-12-05 02:42:24,572 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.5.2)
2024-12-05 02:42:25,043 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.5.3)
2024-12-05 02:42:25,596 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.0)
2024-12-05 02:42:26,106 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.1)
2024-12-05 02:42:26,615 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.2)
2024-12-05 02:42:27,123 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.3)
2024-12-05 02:42:27,693 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.4)
2024-12-05 02:42:28,234 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.7.1)
2024-12-05 02:42:28,771 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.7.2)
2024-12-05 02:42:29,272 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.0)
2024-12-05 02:42:29,771 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.1)
2024-12-05 02:42:30,277 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.2)
2024-12-05 02:42:30,805 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.3)
2024-12-05 02:42:31,304 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.4)
2024-12-05 02:42:31,810 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.5)
2024-12-05 02:42:32,320 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.6)
2024-12-05 02:42:32,837 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.9.0)
2024-12-05 02:42:33,426 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.9.1)
2024-12-05 02:42:34,015 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.10.0)
2024-12-05 02:42:34,506 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.10.1)
2024-12-05 02:42:34,998 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.10.2)
2024-12-05 02:42:35,502 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.11.1)
2024-12-05 02:42:35,986 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.11.2)
2024-12-05 02:42:36,476 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.12.0)
2024-12-05 02:42:36,969 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.12.1)
2024-12-05 02:42:37,468 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.13.0)
2024-12-05 02:42:37,976 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.13.1)
2024-12-05 02:42:38,457 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.0)
2024-12-05 02:42:38,950 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.1)
2024-12-05 02:42:39,448 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.2)
2024-12-05 02:42:39,970 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.3)
2024-12-05 02:42:40,456 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.4)
2024-12-05 02:42:40,942 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.5)
2024-12-05 02:42:41,487 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.6)
2024-12-05 02:42:41,965 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.7)
2024-12-05 02:42:42,473 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.8)
2024-12-05 02:42:42,936 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.9)
2024-12-05 02:42:43,460 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.10)
2024-12-05 02:42:43,947 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.11)
2024-12-05 02:42:44,460 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.12)
2024-12-05 02:42:45,010 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy Makefile from 'files' directory to each version directory] *********************************************************************************************************
2024-12-05 02:42:45,011 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.0.1)
2024-12-05 02:42:45,537 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.0.2)
2024-12-05 02:42:46,078 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.0.3)
2024-12-05 02:42:46,616 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.0.4)
2024-12-05 02:42:47,138 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.0.6)
2024-12-05 02:42:47,608 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.0.7)
2024-12-05 02:42:48,101 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.0.8)
2024-12-05 02:42:48,661 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.1.0)
2024-12-05 02:42:49,207 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.1.3)
2024-12-05 02:42:49,684 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.1.4)
2024-12-05 02:42:50,224 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.1.6)
2024-12-05 02:42:50,716 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.2.0)
2024-12-05 02:42:51,225 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.2.1)
2024-12-05 02:42:51,703 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.2.2)
2024-12-05 02:42:52,202 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.2.3)
2024-12-05 02:42:52,812 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.3.0)
2024-12-05 02:42:53,411 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.3.1)
2024-12-05 02:42:53,895 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.3.2)
2024-12-05 02:42:54,403 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.3.3)
2024-12-05 02:42:54,883 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.4.0)
2024-12-05 02:42:55,358 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.4.1)
2024-12-05 02:42:55,908 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.4.2)
2024-12-05 02:42:56,447 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.4.4)
2024-12-05 02:42:56,974 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.5.1)
2024-12-05 02:42:57,480 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.5.2)
2024-12-05 02:42:57,974 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.5.3)
2024-12-05 02:42:58,478 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.0)
2024-12-05 02:42:58,970 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.1)
2024-12-05 02:42:59,490 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.2)
2024-12-05 02:43:00,003 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.3)
2024-12-05 02:43:00,544 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.6.4)
2024-12-05 02:43:01,043 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.7.1)
2024-12-05 02:43:01,518 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.7.2)
2024-12-05 02:43:02,039 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.0)
2024-12-05 02:43:02,632 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.1)
2024-12-05 02:43:03,198 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.2)
2024-12-05 02:43:03,798 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.3)
2024-12-05 02:43:04,374 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.4)
2024-12-05 02:43:04,963 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.5)
2024-12-05 02:43:05,537 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.8.6)
2024-12-05 02:43:06,103 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.9.0)
2024-12-05 02:43:06,607 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.9.1)
2024-12-05 02:43:07,142 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.10.0)
2024-12-05 02:43:07,649 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.10.1)
2024-12-05 02:43:08,173 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.10.2)
2024-12-05 02:43:08,689 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.11.1)
2024-12-05 02:43:09,267 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.11.2)
2024-12-05 02:43:09,780 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.12.0)
2024-12-05 02:43:10,280 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.12.1)
2024-12-05 02:43:10,746 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.13.0)
2024-12-05 02:43:11,281 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.13.1)
2024-12-05 02:43:11,763 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.0)
2024-12-05 02:43:12,307 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.1)
2024-12-05 02:43:12,777 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.2)
2024-12-05 02:43:13,296 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.3)
2024-12-05 02:43:13,797 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.4)
2024-12-05 02:43:14,337 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.5)
2024-12-05 02:43:14,837 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.6)
2024-12-05 02:43:15,351 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.7)
2024-12-05 02:43:15,816 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.8)
2024-12-05 02:43:16,316 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.9)
2024-12-05 02:43:16,883 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.10)
2024-12-05 02:43:17,409 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.11)
2024-12-05 02:43:17,904 p=1579080 u=root n=ansible | changed: [localhost] => (item=4.14.12)
2024-12-05 02:43:18,199 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Read versions from file] ************************************************************************************************************************************************
2024-12-05 02:43:18,200 p=1579080 u=root n=ansible | ok: [localhost]
2024-12-05 02:43:18,272 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Set version variable] ***************************************************************************************************************************************************
2024-12-05 02:43:18,272 p=1579080 u=root n=ansible | ok: [localhost]
2024-12-05 02:43:18,579 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Create directories for Bitbucket versions] ******************************************************************************************************************************
2024-12-05 02:43:18,579 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.2)
2024-12-05 02:43:18,872 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.4)
2024-12-05 02:43:19,160 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.5)
2024-12-05 02:43:19,416 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.6)
2024-12-05 02:43:19,673 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.7)
2024-12-05 02:43:19,976 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.8)
2024-12-05 02:43:20,261 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.9)
2024-12-05 02:43:20,528 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.10)
2024-12-05 02:43:20,799 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.1)
2024-12-05 02:43:21,061 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.2)
2024-12-05 02:43:21,322 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.3)
2024-12-05 02:43:21,600 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.4)
2024-12-05 02:43:21,856 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.5)
2024-12-05 02:43:22,121 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.6)
2024-12-05 02:43:22,375 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.7)
2024-12-05 02:43:22,638 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.8)
2024-12-05 02:43:22,934 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.9)
2024-12-05 02:43:23,209 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.0)
2024-12-05 02:43:23,466 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.1)
2024-12-05 02:43:23,719 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.2)
2024-12-05 02:43:23,993 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.3)
2024-12-05 02:43:24,273 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.4)
2024-12-05 02:43:24,530 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.5)
2024-12-05 02:43:24,831 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.6)
2024-12-05 02:43:25,088 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.7)
2024-12-05 02:43:25,342 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.8)
2024-12-05 02:43:25,629 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.0)
2024-12-05 02:43:25,892 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.1)
2024-12-05 02:43:26,161 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.2)
2024-12-05 02:43:26,439 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.3)
2024-12-05 02:43:26,710 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.4)
2024-12-05 02:43:26,972 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.5)
2024-12-05 02:43:27,230 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.6)
2024-12-05 02:43:27,567 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.7)
2024-12-05 02:43:27,852 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.0)
2024-12-05 02:43:28,127 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.1)
2024-12-05 02:43:28,406 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.2)
2024-12-05 02:43:28,660 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.3)
2024-12-05 02:43:28,930 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.4)
2024-12-05 02:43:29,178 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.6)
2024-12-05 02:43:29,430 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.7)
2024-12-05 02:43:29,692 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.8)
2024-12-05 02:43:29,998 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.9)
2024-12-05 02:43:30,271 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.0)
2024-12-05 02:43:30,527 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.1)
2024-12-05 02:43:30,772 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.2)
2024-12-05 02:43:31,024 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.3)
2024-12-05 02:43:31,281 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.4)
2024-12-05 02:43:31,548 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.5)
2024-12-05 02:43:31,801 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.6)
2024-12-05 02:43:32,064 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.7)
2024-12-05 02:43:32,321 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.8)
2024-12-05 02:43:32,607 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.9)
2024-12-05 02:43:32,892 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.1)
2024-12-05 02:43:33,151 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.2)
2024-12-05 02:43:33,446 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.3)
2024-12-05 02:43:33,740 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.4)
2024-12-05 02:43:34,017 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.5)
2024-12-05 02:43:34,293 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.6)
2024-12-05 02:43:34,560 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.0)
2024-12-05 02:43:34,816 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.1)
2024-12-05 02:43:35,076 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.2)
2024-12-05 02:43:35,359 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.3)
2024-12-05 02:43:35,616 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.4)
2024-12-05 02:43:35,900 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.0)
2024-12-05 02:43:36,163 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.1)
2024-12-05 02:43:36,413 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.2)
2024-12-05 02:43:36,672 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.3)
2024-12-05 02:43:36,937 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.4)
2024-12-05 02:43:37,198 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.9.0)
2024-12-05 02:43:37,459 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.9.1)
2024-12-05 02:43:37,724 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.9.2)
2024-12-05 02:43:37,974 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.10.0)
2024-12-05 02:43:38,228 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.10.1)
2024-12-05 02:43:38,522 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.10.2)
2024-12-05 02:43:38,786 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.10.3)
2024-12-05 02:43:39,058 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.10.4)
2024-12-05 02:43:39,329 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.11.1)
2024-12-05 02:43:39,585 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.11.2)
2024-12-05 02:43:39,862 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.11.3)
2024-12-05 02:43:40,130 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.11.4)
2024-12-05 02:43:40,381 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.12.0)
2024-12-05 02:43:40,631 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.12.1)
2024-12-05 02:43:40,903 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.12.2)
2024-12-05 02:43:41,157 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.12.3)
2024-12-05 02:43:41,417 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.12.4)
2024-12-05 02:43:41,666 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.13.0)
2024-12-05 02:43:41,973 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.13.1)
2024-12-05 02:43:42,237 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.13.3)
2024-12-05 02:43:42,487 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.13.4)
2024-12-05 02:43:42,736 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.13.5)
2024-12-05 02:43:42,996 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.13.6)
2024-12-05 02:43:43,265 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.14.0)
2024-12-05 02:43:43,513 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.14.1)
2024-12-05 02:43:43,789 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.14.2)
2024-12-05 02:43:44,061 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.14.3)
2024-12-05 02:43:44,311 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.14.4)
2024-12-05 02:43:44,558 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.15.0)
